Mean Square Error (MSE) = 7437.075349478539
Average Difference = 42.87332136478282

ROW		|	PREDICTION	|	TARGET	|	ERROR
127		|	1,31		|	1,22	|	0.09407407407407398
128		|	1,39		|	1,23	|	0.1590599472990777
129		|	1,47		|	1,20	|	0.27148631476050844
130		|	1,38		|	1,23	|	0.14729800307219665
131		|	1,32		|	1,22	|	0.09934373108286154
132		|	1,40		|	1,21	|	0.19177009854429228
133		|	1,21		|	1,23	|	0.021857769423559104
134		|	1,32		|	1,24	|	0.07934373108286152
135		|	1,37		|	1,19	|	0.17884782608695637
136		|	1,21		|	1,24	|	0.03280314757481939
137		|	1,21		|	1,23	|	0.021857769423559104
138		|	1,32		|	1,21	|	0.10934373108286155
139		|	1,47		|	1,21	|	0.26148631476050843
140		|	1,39		|	1,13	|	0.2590599472990778
141		|	1,21		|	1,28	|	0.07280314757481943
142		|	1,39		|	1,28	|	0.10905994729907764
143		|	1,39		|	1,20	|	0.1890599472990777
144		|	1,39		|	1,24	|	0.14905994729907768
145		|	1,21		|	1,22	|	0.012803147574819373
146		|	1,21		|	1,23	|	0.022803147574819382
147		|	1,21		|	1,24	|	0.03280314757481939
148		|	1,88		|	1,25	|	0.626222222222222
149		|	1,40		|	1,16	|	0.24177009854429232
150		|	1,21		|	1,22	|	0.012803147574819373
151		|	1,39		|	1,24	|	0.14905994729907768
152		|	1,39		|	1,23	|	0.1590599472990777
153		|	1,21		|	1,20	|	0.013446852425180511
154		|	1,21		|	1,26	|	0.04655314757481954
155		|	1,23		|	1,19	|	0.0391587837837839
156		|	1,21		|	1,24	|	0.03185776942355911
157		|	1,23		|	1,24	|	0.014221331305730445
158		|	1,23		|	1,25	|	0.024221331305730454
159		|	1,21		|	1,22	|	0.006553147574819507
160		|	1,21		|	1,24	|	0.026553147574819524
161		|	1,30		|	1,23	|	0.06549488491048572
162		|	1,21		|	1,18	|	0.028219391070268163
163		|	1,82		|	1,23	|	0.5882222222222222
164		|	1,21		|	1,19	|	0.017196852425180653
165		|	1,21		|	1,24	|	0.03280314757481939
166		|	1,22		|	1,23	|	0.014704585537918868
167		|	1,21		|	1,19	|	0.018142230576440932
168		|	1,21		|	1,20	|	0.008081841432225012
169		|	1,21		|	1,20	|	0.008081841432225012
170		|	1,22		|	1,24	|	0.024704585537918877
171		|	1,30		|	1,20	|	0.10175003895901535
172		|	1,21		|	1,21	|	0.0029517543859649553
173		|	1,21		|	1,18	|	0.02808184143222503
174		|	1,30		|	1,30	|	0.0017500389590152654
175		|	1,25		|	1,23	|	0.017938808373590964
176		|	1,31		|	1,21	|	0.10407407407407399
177		|	1,24		|	1,24	|	0.001956790123456731
178		|	2,39		|	1,23	|	1.1583048433048435
179		|	1,94		|	1,22	|	0.718962962962963
180		|	1,37		|	1,25	|	0.1213974358974359
181		|	1,49		|	1,22	|	0.27045642337202436
182		|	1,38		|	1,21	|	0.17005400155400152
183		|	1,40		|	1,24	|	0.16027652086475608
184		|	1,22		|	1,25	|	0.02514167995746952
185		|	2,46		|	1,22	|	1.2424756852343057
186		|	4,42		|	1,69	|	2.7321672771672776
187		|	3,30		|	2,36	|	0.9367324945585813
188		|	4,45		|	3,48	|	0.9691369741369731
189		|	14,70		|	5,73	|	8.966676587301587
190		|	14,27		|	7,66	|	6.608392273576097
191		|	17,23		|	9,37	|	7.860911212970036
192		|	20,89		|	12,28	|	8.611278860028863
193		|	25,14		|	16,98	|	8.159387834387836
194		|	40,33		|	23,12	|	17.211901260504195
195		|	40,33		|	33,85	|	6.481901260504195
196		|	40,33		|	37,30	|	3.031901260504199
197		|	93,28		|	30,61	|	62.674528256704974
198		|	93,28		|	25,36	|	67.92452825670497
199		|	93,28		|	26,35	|	66.93452825670497
200		|	93,28		|	33,72	|	59.564528256704975
201		|	49,64		|	40,01	|	9.632350427350431
202		|	223,59		|	46,73	|	176.85822270114946
203		|	223,59		|	59,19	|	164.39822270114945
204		|	207,62		|	72,76	|	134.8552916666667
205		|	81,33		|	85,24	|	3.9111574074074014
206		|	207,62		|	85,06	|	122.55529166666668
207		|	167,91		|	85,17	|	82.74215523215524
208		|	207,62		|	79,28	|	128.33529166666668
209		|	207,62		|	80,06	|	127.55529166666668
210		|	135,98		|	111,55	|	24.427900563607082
211		|	135,98		|	125,56	|	10.417900563607077
212		|	145,35		|	136,41	|	8.936499048455545
213		|	118,21		|	130,19	|	11.975593544137027
214		|	155,62		|	131,05	|	24.56659996924614
215		|	118,21		|	142,35	|	24.135593544137024
216		|	222,56		|	135,19	|	87.37121320316973
217		|	118,21		|	153,13	|	34.915593544137025
218		|	106,32		|	133,19	|	26.874694902548725
219		|	106,32		|	111,33	|	5.014694902548726
220		|	118,21		|	104,42	|	13.794406455862969
221		|	118,21		|	89,21	|	29.004406455862977
222		|	118,21		|	106,76	|	11.454406455862966
223		|	135,98		|	137,47	|	1.4920994363929196
224		|	118,21		|	143,14	|	24.925593544137016
225		|	135,98		|	166,44	|	30.46209943639292
226		|	262,26		|	153,76	|	108.50434963768117
227		|	135,98		|	146,61	|	10.632099436392934
228		|	135,98		|	150,56	|	14.582099436392923
229		|	135,98		|	159,35	|	23.372099436392915
230		|	262,26		|	177,19	|	85.07434963768117
231		|	135,98		|	188,45	|	52.47209943639291
232		|	135,98		|	193,05	|	57.07209943639293
233		|	118,21		|	205,23	|	87.01559354413702
234		|	166,37		|	212,66	|	46.285717857445576
235		|	246,15		|	218,09	|	28.063048413069424
236		|	166,37		|	146,70	|	19.674282142554432
237		|	219,02		|	114,92	|	104.10095582047684
238		|	166,37		|	130,33	|	36.04428214255441
239		|	166,37		|	119,67	|	46.70428214255442
240		|	186,74		|	103,67	|	83.06989130434782
241		|	186,74		|	99,54	|	87.19989130434782
242		|	214,06		|	79,93	|	134.13234228474
243		|	214,06		|	96,32	|	117.74234228474
244		|	214,06		|	90,76	|	123.30234228473999
245		|	214,06		|	101,23	|	112.83234228474
246		|	142,36		|	106,51	|	35.84772107261874
247		|	195,91		|	103,95	|	91.96289130434782
248		|	223,67		|	103,34	|	120.33085621662852
249		|	140,82		|	105,14	|	35.684436758893256
250		|	223,67		|	106,15	|	117.52085621662852
251		|	223,67		|	102,88	|	120.79085621662853
252		|	223,67		|	137,51	|	86.16085621662853
253		|	195,91		|	168,85	|	27.06289130434783
254		|	195,91		|	165,00	|	30.912891304347824
255		|	195,91		|	173,92	|	21.992891304347836
256		|	195,91		|	159,52	|	36.39289130434781
257		|	195,91		|	132,98	|	62.932891304347834
258		|	229,47		|	127,93	|	101.53929310344824
259		|	229,47		|	102,28	|	127.18929310344825
260		|	257,23		|	98,37	|	158.85725801572897
261		|	229,47		|	85,74	|	143.72929310344824
262		|	136,54		|	75,18	|	61.35966717752231
263		|	173,83		|	62,79	|	111.04416347381863
264		|	173,83		|	44,18	|	129.6541634738186
265		|	173,83		|	39,11	|	134.72416347381863
266		|	136,54		|	28,93	|	107.60966717752231
267		|	136,54		|	26,63	|	109.90966717752232
268		|	136,54		|	23,17	|	113.36966717752232
269		|	72,41		|	21,50	|	50.91194550264552
270		|	220,77		|	17,06	|	203.7115969498911
271		|	265,77		|	16,14	|	249.626508994709
272		|	179,91		|	14,43	|	165.47506397306398
273		|	220,77		|	13,13	|	207.6415969498911
274		|	179,91		|	12,87	|	167.03506397306398
275		|	220,77		|	10,90	|	209.87159694989109
276		|	265,77		|	10,24	|	255.526508994709
277		|	265,77		|	12,10	|	253.666508994709
278		|	265,77		|	13,44	|	252.326508994709
279		|	112,93		|	13,69	|	99.24455726735138
280		|	72,41		|	10,37	|	62.041945502645525
281		|	220,77		|	9,95	|	210.8215969498911
282		|	220,77		|	10,10	|	210.6715969498911
283		|	112,93		|	11,80	|	101.13455726735138
284		|	112,93		|	14,92	|	98.01455726735138
285		|	112,93		|	13,80	|	99.13455726735138
286		|	220,77		|	13,04	|	207.7315969498911
287		|	112,93		|	11,62	|	101.31455726735138
288		|	151,12		|	10,41	|	140.70964985994397
289		|	112,93		|	9,40	|	103.53455726735137
290		|	112,93		|	8,52	|	104.41455726735138
291		|	72,07		|	8,65	|	63.41802429052429
292		|	110,25		|	9,27	|	100.98311688311688
293		|	72,07		|	9,63	|	62.43802429052429
294		|	72,07		|	9,66	|	62.408024290524295
295		|	110,25		|	8,85	|	101.40311688311688
296		|	110,25		|	7,49	|	102.76311688311688
297		|	110,25		|	8,70	|	101.55311688311687
298		|	151,12		|	9,95	|	141.16964985994397
299		|	110,25		|	10,42	|	99.83311688311687
300		|	110,25		|	8,94	|	101.31311688311688
301		|	110,25		|	8,10	|	102.15311688311688
302		|	110,25		|	7,31	|	102.94311688311687
303		|	110,25		|	7,01	|	103.24311688311687
304		|	86,34		|	6,67	|	79.66628354978354
305		|	86,34		|	6,71	|	79.62628354978355
306		|	116,91		|	7,11	|	109.79760342555993
307		|	116,91		|	7,24	|	109.66760342555993
308		|	116,91		|	7,33	|	109.57760342555993
309		|	55,10		|	7,46	|	47.63776889776889
310		|	42,99		|	6,66	|	36.327945665445654
